SIGNET_SOURCE	SIGNET_DEST
CHMP4B	ALDH18A1 ATP5F1B CALM1 CAPZA2 CAV1 DDX17 DES DSP EEF1G EPPK1 FLOT1 GNB4 HNRNPR KDM3B KIDINS220 MYH11 NAXE NCL NOS3 PAM PLEC PLOD1 PPP1CC PTPN23 PUF60 RNF123 RPL22 SCRIB SRSF3 STAG3
CHRM2	GJC2 TMEM8B
CHRNA1	RER1 TRIM63
CLASRP	CLK2 EED
CLK2	CLASRP EED EEF1G MKLN1 SRRT SRSF3 ZNF436 ZSCAN21
CLPTM1	ASIC4 CPEB4 FGFR1
CLSTN1	CCNL1 PVRIG SCAMP3 SLC8A1
CMTM5	ALDH18A1 FARS2 FERMT2 GLTP MFF NDRG4 TMF1 TUBB VARS2 ZNF391
CNKSR1	MST1
CNOT1	CAPZA2 CPEB4 DCP1A EED INTS5 NOS3 RNF123 SLC50A1 TRIM74
CNPY4	LRIG1
COL4A3	HABP2 MATN2
COL4A4	HABP2 MATN2
COPS6	CASP7 CCNA1 CDKN1A CDKN2C EDN1 KLHL42 NCL PLCG1 PRIM1 TRPC4AP TUBB
CPEB4	CLPTM1 CNOT1 DCP1B IGF2BP2 NME7 TCHP
CPNE5	MTA2
CREBBP	ANAPC7 CDH2 CDKN1A DDX17 FGFR1 HLF KDM3B MAPT MDC1 MEIS1 MITF NCOA2 NR3C2 PPARGC1A PPP1CC PRKCD SERTAD1 SERTAD3 SP3 SREBF1 TAF6L TCF7L2 TLE3 TXNDC11
CSKMT	TEKT5
CSTA	BAZ2A CCNL1 CD81 DSP KDM3B RNF11 TCTN3
CTNNBIP1	TCF7L2
DAGLA	SLC6A4
DBX1	APOC1
DCP1A	ALDH18A1 CBY1 CCDC59 CNOT1 DCP1B DDX17 GTPBP1 PPP1R35 TBX3 TRIP13
DCP1B	CBY1 CCNL1 CPEB4 DCP1A
DCTD	NIF3L1
DDR1	CDH2 EPHB4 PLCG1 SLC6A4 TRIP13
DDX17	CCNL1 CD81 CHMP4B CREBBP DCP1A EED KIF20A L1TD1 MAPT MEPCE NCL NCOA2 NIF3L1 OBSL1 PARVA PLEC PPP1CC RIOK1 SMARCAD1 SRSF3 TRPM7
DES	CHMP4B DSP DYSF KIF20A LMO4 NRAP PLEC POLR2G TRIM63
DNAL4	CAMK2D
DNPEP	CCNL1 TNS3
DPF3	ACTL6A
DPM3	TM9SF2
DSP	CASP7 CCNL1 CD81 CHMP4B CSTA DES EED EEF1G KIF20A L1TD1 NFKB2 OBSL1 PLEC PRKCA RELB RNF123 TRPM7 VARS2
DTWD2	CELSR2 PCDH7
DYSF	CAV3 DES EEF1G TTN
E2F2	GIT2
EDN1	ADM COPS6
EED	ALDH18A1 ATP2A2 ATP5F1B ATP6V1C1 BAZ2A CALM1 CALM2 CALM3 CAND2 CAPZA2 CCNL1 CLASRP CLK2 CNOT1 DDX17 DSP EEF1G EIF2S2 FERMT2 FLOT1 HCN3 HNRNPR HNRNPUL2 IGF2BP2 KIF20A LIG3 MCM7 MDC1 MET MST1 MTA2 MYH11 NCL NFKB2 OBSCN PABPN1 PAM PLEC PLOD1 PPP1CC PSMA5 PTGES3 PUF60 RAB3IL1 RALY RNF11 RPL22 RPL32 SIPA1L1 SMARCAD1 SRRT SRSF3 SUN2 TOMM22 TRIM63 TRPM7 TTN TUBB UBE4B VARS2 VILL VPS29 XPO4
EEF1AKMT1	RNF123
EEF1G	ATP1B1 ATP5F1B CACNA1C CAV3 CCNL1 CHMP4B CLK2 DSP DYSF EED EFNA1 FEN1 GJA1 KIF20A L1TD1 MAPT MEPCE MTA2 NACA OBSL1 RNF123 RPL32 RYR2 TMEM223 TRIM63 TUBB VARS2
EFNA1	EEF1G GAREM1
EFS	PLCG1
EIF2S2	ATP1B1 BET1 EED MAPT PMP22 RIOK1 TOMM22
ELK4	ID2 RIOK1
ELP6	GBF1 GJA1
EPHB4	CD81 DDR1
EPPK1	CCNL1 CDKN1A CFLAR CHMP4B KCNJ2 KIF20A MST1 NFKB2 OBSL1 SKI
ESD	CAV1 TKT
EXOG	MEPCE SLC6A4 TRDN
F5	PITX3
FAAP20	SERTAD1 SERTAD3
FADS2	CD81 TCTN3
FAM162A	SRRT
FAM189B	ANKRD13A SCRIB SNTA1 TMEM179B
FAM53C	CBY1 MAPKAP1 SH3PXD2A SIPA1L1
FARS2	AGTRAP CMTM5 HOMEZ TOMM40 TRIP6
FASTK	WIPF1
FAT1	LIPH
FBXO24	PTGES3
FEN1	ACTL6A EEF1G MAPT MST1 TRAIP
FER	CALM1 TMF1
FERMT2	CAV3 CMTM5 EED GBF1 KCNQ1 PARVA
FEZ2	SAP30L
FGFR1	ATP5F1B CACNA1C CDH11 CDH2 CLPTM1 CREBBP FLRT2 ID2 LITAF MTCH1 OBSCN PLCG1 PLEC RPL22 SCN3B SPATS2L
FLOT1	CAPZA2 CAV1 CAV3 CHMP4B EED KIF20A L1TD1 NME7 OBSL1 SLC6A4 SORBS1
FLRT2	FGFR1
FNDC4	CAV1 NDUFB3 POLR2G
FNDC8	MBLAC1
GANAB	CCNA1 CCNL1 OBSL1 PDE3A PRKAG2 TCTN1 TCTN3 TNS3 TOMM40
GAREM1	EFNA1
GBA	SCAMP3
GBF1	ARHGEF16 BET1 ELP6 FERMT2 MRTFB NACA PARVA PLEC PUF60 SPART VARS2
GCKR	CDKN1A
GIT2	E2F2 RCOR1
GJA1	ATP2A2 ATP5F1B BET1 CALM1 CALM2 CALM3 CAND2 CAPZA2 CASQ2 CAV1 CDH2 EEF1G ELP6 L1TD1 MFN1 MYH7 PIK3C3 PLD3 PLN PRKCA RYR2 SCN10A SLC8A1 SOD2 TUBB VPS29
GJC2	CHRM2
GLIS2	AKAP9 MET NME7 NSD3
GLTP	CMTM5
GMPPA	GMPPB
GMPPB	GMPPA GPN1 IBA57 MCM7 NIF3L1 PDE3A
GNB4	CHMP4B GNG11 GNG3 KCNJ5 KIF20A MTCH1 TFAP4
GNG11	GNB4 REP15
GNG3	GNB4 TRIM74
GNPNAT1	CCNL1 GPD1L HSD17B6 MAPT
GOSR2	BET1 MFF TCTN3 TRDN
GPATCH2	CCNL1
GPATCH4	NGDN NMNAT1 RPL32 ZNF512
GPD1L	GNPNAT1 MYH7B SCN5A
GPN1	GMPPB POLR2G PUF60
GRINA	KCNJ2
GSS	HPGDS
GTF2H4	POLR2G RNF11
GTPBP1	DCP1A HABP4 IGF2BP2
HABP2	COL4A3 COL4A4 TMPRSS7
HABP4	GTPBP1 PRKCA PRKCD
HAND1	ACHE NKX2-5 PMP22 PRKCA
HCN3	EED HCN4
HCN4	CAV3 HCN3
HEATR5B	SCRIB
HINT2	ATP5F1B IBA57 METTL17 MRPS35 VARS2
HIPK4	MCM7
HLF	CREBBP
HNRNPR	CCNL1 CHMP4B EED KIAA2013 KIF20A MAPT MEPCE METTL17 MRPS35 MTA2 NCL OBSL1 RALY RIOK1 RNF123 SMARCAD1 TMEM179B TOMM22
HNRNPUL2	EED KIF20A MDC1 MEPCE OBSL1 RALY RIOK1
HOMEZ	FARS2
HPGDS	GSS
HSD17B6	GNPNAT1
HTR2A	CAV1
IBA57	GMPPB HINT2 METTL17
ICMT	MUC1 OXSR1 RAD51D
ID2	ELK4 FGFR1 MET NKX2-5 PMP22 PRKCA SREBF1 TCHP TUBB
IFT172	TSC22D4
IGF2BP2	CBX6 CCNL1 CPEB4 EED GTPBP1 KIF20A MEPCE METTL17 MRPS35 PABPN1 PUF60
IGFBP3	CAV1 PRKCA
INHA	ACVR2A
INKA1	BSCL2 TRIM63
INTS5	CNOT1 OBSL1 POLR2G TOMM22
IP6K1	RAB3IL1
IQGAP3	CALM1 CALM2 CALM3
JOSD1	CALM1 CALM2 CALM3 TRIM63
KCNAB2	SLC39A2 SLC6A4
KCND3	KCNH2 SCN1B
KCNE1	CALM1 CALM2 CALM3 KCNH2 KCNQ1 PRKCA
KCNE2	CACNA1C KCNH2 KCNQ1
KCNH2	ALG10B ATP1B1 CACNB2 CAV1 CAV3 KCND3 KCNE1 KCNE2 RFFL RNF207 TTN
KCNJ1	KCNJ5 PRKCD
KCNJ2	CAV3 EPPK1 GRINA SCN5A SCRIB SNTA1
KCNJ5	AKAP9 GNB4 KCNJ1 LANCL2 PLCG1
KCNN2	CALM1 CALM2 CALM3
KCNQ1	AKAP9 AMPD3 ANK2 ATP1B1 CALM1 CALM2 CALM3 CAND2 FERMT2 KCNE1 KCNE2 MYH11 NCL TKT
KDM3B	CHMP4B CREBBP CSTA MAPT PLOD1 SPAG8
KIAA2013	BSCL2 HNRNPR
KIDINS220	BET1 CHMP4B KIF20A
KIF20A	ANK2 ATP5F1B CALM1 CAPZA2 CAV1 CDH9 DDX17 DES DSP EED EEF1G EPPK1 FLOT1 GNB4 HNRNPR HNRNPUL2 IGF2BP2 KIDINS220 MDC1 MUC17 MYH11 NCL NOS3 NSD3 PLCD1 PLEC PPP1CC PTPN23 PUF60 RALY RPL22 RPL32 SRSF3 STAG3 TOMM40 TRIP13
KIRREL3	ATP1B1
KLF12	PMP22
KLHL42	COPS6 SERTAD1 SERTAD3
KRTCAP2	TCTN3
L1TD1	DDX17 DSP EEF1G FLOT1 GJA1 MCM7 MRPS35 NCL PLEC RALY RPL22 RPL32 SRSF3 TUBB
LANCL2	CCNL1 KCNJ5 MAPT
LAPTM4B	MET
LBHD1	OBSL1
LIG3	EED LRIG1 MDC1 PLCG1 PVRIG RNF123 TCF7L2
LIPH	FAT1 PRIM1
LITAF	CACNA1C FGFR1 RASSF3 VILL
LMO4	DES
LRCH1	SLC6A4
LRIG1	CNPY4 LIG3 MET SCRIB
MAP3K7	CALM1 CALM2 CALM3 CCNL1 MYD88 THBS3 TRAIP TUBB ZNF593
MAPKAP1	CBY1 CDC25C FAM53C PRKCA SH3PXD2A SIPA1L1
MAPT	APOE ARHGEF40 ATP1B1 ATP2A2 ATP5F1B C11orf98 CALM1 CALM2 CALM3 CAPZA2 CASP7 CCT6B CDK5 CREBBP DDX17 EEF1G EIF2S2 FEN1 GNPNAT1 HNRNPR KDM3B LANCL2 NCL NDRG2 PLCG1 PLEC PPM1G PPP1CC PRKCA PRKCD PTGES3 PUF60 RALY RPL22 RPL32 SGIP1 SLC4A4 SOD2 SRSF3 TKT TUBB VARS2 VILL
MATN2	COL4A3 COL4A4
MBLAC1	FNDC8 TRIP13
MCM7	CCNL1 CDKN1A EED GMPPB HIPK4 L1TD1 MST1 OBSL1 ORC2 PLEC PRKCD SIPA1L1 SNTA1 TRAIP TRIM63 VPS29
MCM9	THBS3
MDC1	ANAPC7 ANK2 ATP2A2 CAVIN2 CDC23 CREBBP EED HNRNPUL2 KIF20A LIG3 METTL17 NCL OBSL1 PRIM1 SENP2 TCF7L2 TFAP4 TRIP13
MED13L	SORT1
MEF2D	CASP7
MEIS1	CREBBP
MEPCE	ALDH18A1 ATP5F1B DDX17 EEF1G EXOG HNRNPR HNRNPUL2 IGF2BP2 MRPS35 MTA2 NCL PPM1G PSMA5 PUF60 RPL22 RPL32 SRSF3 TRIP13 TTN TUBB TUT1 ZNF593
MET	CALM1 EED GLIS2 ID2 LAPTM4B LRIG1 MUC1 OBSL1 PLCG1 PLEC SCAP SCRIB SH2D1B SOCS6 TBX5 TNS3
METTL17	ATP5F1B HINT2 HNRNPR IBA57 IGF2BP2 MDC1 MRPS35 SRSF3 TRIP6 VARS2
MFF	BET1 CMTM5 GOSR2 MTCH1 PLN TOMM22
MFN1	GJA1 MTCH1 TOMM22
MICU2	TUBB
MITF	CREBBP
MKLN1	CLK2
MN1	ANAPC7
MPPED2	CAGE1 TRIP13
MRPS35	ATP1B1 ATP6V1C1 CCDC59 HINT2 HNRNPR IGF2BP2 L1TD1 MEPCE METTL17 OBSL1 TCF7L2 TOMM22 ZNF593
MRTFB	GBF1
MST1	CNKSR1 EED EPPK1 FEN1 MCM7 NCL RASSF3 RNF123 SCRIB SOD2 TUBB
MTA2	BCL11A CAMK2D CHD5 CPNE5 EED EEF1G HNRNPR MEPCE OBSL1 SMARCAD1 TCF7L2 TSSC4 ZNF219 ZNF800
MTCH1	ANAPC7 ATP1B1 CDC23 FGFR1 GNB4 MFF MFN1 PRKCD SCN3B SLC6A4 TOMM22 TOMM40
MTHFR	TMEM223
MTX1	ADCK1 TOMM22 TOMM40
MUC1	BCL2L2 ICMT MET PLN PRKCD RFT1
MUC17	KIF20A
MYBPHL	TRIM63
MYD88	MAP3K7 TRIP6 TUBB
MYH11	CHMP4B EED KCNQ1 KIF20A
MYH6	CCNL1 SORT1 TRIM63
MYH7	GJA1 TLE3
MYH7B	CACNA2D1 GPD1L TRPC4AP
NACA	ARHGAP24 ATP5F1B CAV3 CCNL1 EEF1G GBF1 SNTA1
NAXE	ABHD10 CHMP4B
NCL	ACTL6A ANAPC7 CBX6 CCNL1 CD81 CDKN1A CHMP4B COPS6 DDX17 EED HNRNPR KCNQ1 KIF20A L1TD1 MAPT MDC1 MEPCE MST1 NFKB2 OBSL1 PPARGC1A PPP1CC PUF60 RIOK1 RNF123 RPL22 SKI SPART SRSF3 TBX5 TOMM40 TRAIP TUBB
NCOA2	CREBBP DDX17 NR3C2
NDRG2	ATP1B1 CAV3 MAPT NDRG4 SNTA1
NDRG4	AGTRAP CMTM5 NDRG2
NDUFB3	CAV3 FNDC4
NECTIN2	CD81 SYPL2 TOMM22
NFKB2	CALM1 CALM2 CALM3 DSP EED EPPK1 NCL RELB TUBB ZHX2
NGDN	GPATCH4 RIOK1 ZNF512
NIF3L1	CASP7 CDKN2C DCTD DDX17 GMPPB NME7 TRIP13 TSC22D4
NKD2	CAV1 CDKN1A
NKX2-5	HAND1 ID2 TBX5
NME7	CPEB4 FLOT1 GLIS2 NIF3L1 SPART TCHP
NMNAT1	GPATCH4 OBSL1 ZNF512
NOS1AP	TOMM40 TRPC4AP
NOS3	APOE ASIC4 ATP1B1 CALM1 CALM2 CALM3 CAV1 CAV3 CHMP4B CNOT1 KIF20A TXNDC11
NPPA	NPR2 OBSCN PM20D1
NPPB	NPR2 SERTAD3
NPR2	NPPA NPPB
NR3C2	CAV1 CREBBP NCOA2 PTGES3
NRAP	DES TRDN TRIM63
NRBP1	CDKN1A PPP1CC TSC22D4
NRBP2	TSC22D4
NRXN3	TAFA4
NSD3	GLIS2 KIF20A SPAG8 TRIM63
NUBP1	ATP5F1B
NUCKS1	CASP7 ORC2
NYAP1	PRX
OBSCN	ANK2 CALM1 CALM2 CALM3 EED FGFR1 NPPA RNF123 SNTA1 TTN
OBSL1	ATP5F1B CAPZA2 CASQ2 CCNL1 DDX17 DSP EEF1G EPPK1 FLOT1 GANAB HNRNPR HNRNPUL2 INTS5 LBHD1 MCM7 MDC1 MET MRPS35 MTA2 NCL NMNAT1 PDIK1L PLEC PLOD1 POM121 PUF60 RALY SCRIB SELP SPATS2L SRRT SRSF3 TTN
ORC2	BLZF1 CCNA1 CCNL1 MCM7 NUCKS1 STN1
OXSR1	ICMT
PABPN1	EED IGF2BP2 PAM
PAM	ANK2 CALM1 CALM2 CALM3 CASQ2 CD81 CHMP4B EED PABPN1 PPP1CC PRKCA PUF60 SCRIB SLC6A4 SORBS1 TAGLN3 TTN UHMK1
PARVA	DDX17 FERMT2 GBF1
PCDH7	CAPZA2 DTWD2
PCOLCE	TGM2
PDE3A	GANAB GMPPB SLC8A1 UBE4B
PDIK1L	OBSL1
PIK3C3	C19orf47 CALM1 GJA1
PILRA	SORBS1
PITX3	APOE CAVIN2 F5
PLCD1	CALM1 KIF20A PLEC TGM2
PLCG1	CAV1 COPS6 DDR1 EFS FGFR1 KCNJ5 LIG3 MAPT MET SCAP SH2D1B SOCS6 TRAIP TRPM7 TTC9B
PLD3	GJA1
PLEC	CAPZA2 CASQ2 CAV3 CCNL1 CHMP4B DDX17 DES DSP EED FGFR1 GBF1 KIF20A L1TD1 MAPT MCM7 MET OBSL1 PLCD1 PPP1CC PRKCA RYR2 SKI SNTA1 SOCS6 TKT
PLN	ATP2A2 CACNA1C CAV3 GJA1 MFF MUC1 SLC39A2 TMEM179B
PLOD1	CAND2 CHMP4B EED KDM3B OBSL1 TCTN1 TCTN3 TOMM22 TOMM40
PLXNA2	TAFA4
PM20D1	NPPA
PMP22	ASIC4 EIF2S2 HAND1 ID2 KLF12 RER1 SCN3B TGM2 TRDN
POLR2G	DES FNDC4 GPN1 GTF2H4 INTS5
POM121	BSCL2 OBSL1 TRIP6
PPARGC1A	CREBBP NCL
PPFIA2	RNF123 SETD6
PPIL1	PPTC7
PPM1G	APEH ATP5F1B CAV1 MAPT MEPCE PUF60 SBF2 TLE3 TTC9C VPS29
PPP1CC	ATP5F1B CAPZA2 CHMP4B CREBBP DDX17 EED KIF20A MAPT NCL NRBP1 PAM PLEC PPP1R35 RPL22 RPL32 RYR2 SCRIB SP3 SRRT SRSF3 TUBB
PPP1R35	DCP1A PPP1CC
PPP1R3E	RNF123
PPTC7	PPIL1 PSMA5
PRIM1	COPS6 LIPH MDC1 STN1
PRKAG2	GANAB
PRKCA	CASR CAVIN2 DSP GJA1 HABP4 HAND1 ID2 IGFBP3 KCNE1 MAPKAP1 MAPT PAM PLEC SCRIB VARS2
PRKCD	CD34 CREBBP HABP4 KCNJ1 MAPT MCM7 MTCH1 MUC1 PTGES3 RMC1 SCRIB TKT VPS29
PRX	NYAP1 SCN10A
PSMA5	EED MEPCE PPTC7
PTGES3	CASP7 CAV3 CCNL1 EED FBXO24 MAPT NR3C2 PRKCD SLC6A4 TCF7L2 TKT
PTPN23	CHMP4B KIF20A
PUF60	AKAP9 CCNL1 CDKN1A CHMP4B EED GBF1 GPN1 IGF2BP2 KIF20A MAPT MEPCE NCL OBSL1 PAM PPM1G SLC6A4 TTN VPS29
PVRIG	CLSTN1 LIG3
RAB3IL1	EED IP6K1
RAD51D	CCNL1 ICMT TOMM22
RALY	EED HNRNPR HNRNPUL2 KIF20A L1TD1 MAPT OBSL1
RASSF3	LITAF MST1
RBM20	RYR2
RCOR1	GIT2 SOCS6 STN1
RELB	ACTL6A CALM1 CALM2 CALM3 DSP NFKB2 TUBB ZHX2
REP15	GNG11
RER1	CHRNA1 PMP22 TCTN3 TOMM22 WIPF1
RFFL	KCNH2
RFT1	MUC1 TCTN3 TMEM179B
RIOK1	DDX17 EIF2S2 ELK4 HNRNPR HNRNPUL2 NCL NGDN RPL22 RPL32 SLC50A1 SRSF3 TRIP13
RIOK3	CALM1 CALM2 CALM3
RMC1	APEH ATP2A2 PRKCD SCRIB TLE3
RNF11	ACVR2A ANKRD13A ASIC4 CSTA EED GTF2H4 SPAG8 TSC22D4 UBXN1 ZDHHC20
RNF123	ALDH18A1 BAZ2B CHD5 CHMP4B CNOT1 DSP EEF1AKMT1 EEF1G HNRNPR LIG3 MST1 NCL OBSCN PPFIA2 PPP1R3E SCAP SCRIB SLC26A9 SPATC1 SRSF3 TAF6L TEKT5
RNF207	KCNH2
RPL22	CALM1 CCNL1 CD81 CHMP4B EED FGFR1 KIF20A L1TD1 MAPT MEPCE NCL PPP1CC RIOK1 RPL32
RPL32	CCNL1 CDH2 EED EEF1G GPATCH4 KIF20A L1TD1 MAPT MEPCE PPP1CC RIOK1 RPL22 TKT ZNF512
RYR2	CACNA1C CALM1 CALM2 CALM3 CAMK2D CAV3 EEF1G GJA1 PLEC PPP1CC RBM20 SNTA1 SPEG VARS2
SAP30L	FEZ2
SBF2	PPM1G SORT1
SCAMP3	BET1 CD81 CLSTN1 GBA SOCS6
SCAP	MET PLCG1 RNF123 SREBF1 ZHX3
SCN10A	CACNA1D CALM1 CALM2 CALM3 GJA1 PRX SCN5A TRIP6
SCN1B	KCND3 SCN4B
SCN3B	ABCB8 BNIP1 FGFR1 MTCH1 PMP22
SCN4B	SCN1B
SCN5A	CACNA1C CACNA1D CALM1 CALM2 CALM3 CAMK2D CAV3 GPD1L KCNJ2 SCN10A SNTA1
SCRIB	ARHGEF16 CHMP4B FAM189B HEATR5B KCNJ2 LRIG1 MET MST1 OBSL1 PAM PPP1CC PRKCA PRKCD RMC1 RNF123 SLC4A4 SNTA1 TRIP6
SELP	APOE OBSL1
SENP2	AGTRAP APOC2 APOC4 APOE MDC1 TRIM63 TUBB USP25
SERTAD1	CREBBP FAAP20 KLHL42 TGM2
SERTAD3	CREBBP FAAP20 KLHL42 NPPB
SESTD1	ZNF830
SETD6	PPFIA2
